TextileID,Time,Taskname,10M,1M,330k,100k,47k,10k,4.7k,1k,407,220,47,10,4.7,Newton,Weight
e4,47683,PressureDynamics,3813,3697,3404,2764,2355,932,526,133,66,34,10,2,1,0.771,-1
e4,47691,PressureDynamics,3822,3707,3393,2782,2378,934,532,133,66,34,10,2,1,0.773,-1
e4,47700,PressureDynamics,3846,3712,3410,2802,2391,942,531,134,67,34,10,2,1,0.772,-1
e4,47708,PressureDynamics,3820,3707,3398,2780,2381,935,531,133,66,34,10,2,1,0.772,-1
e4,47717,PressureDynamics,3834,3716,3416,2800,2384,951,534,135,67,35,10,2,1,0.773,-1
e4,47726,PressureDynamics,3832,3696,3410,2801,2391,947,535,136,67,35,10,2,1,0.775,-1
e4,47734,PressureDynamics,3849,3711,3421,2799,2387,950,537,135,67,35,10,2,1,0.773,-1
e4,47743,PressureDynamics,3817,3695,3407,2795,2382,946,536,135,67,35,11,2,1,0.77,-1
e4,47752,PressureDynamics,3841,3712,3415,2792,2388,945,536,135,67,35,10,2,1,0.771,-1
e4,47760,PressureDynamics,3846,3710,3410,2796,2380,941,534,135,67,35,10,2,1,0.767,-1
e4,47769,PressureDynamics,3844,3687,3402,2801,2381,946,536,135,67,35,10,2,1,0.77,-1
e4,47777,PressureDynamics,3837,3712,3399,2796,2391,954,539,135,67,35,9,2,1,0.773,-1
e4,47786,PressureDynamics,3850,3699,3409,2791,2382,938,532,133,67,35,10,2,1,0.773,-1
e4,47794,PressureDynamics,3827,3707,3402,2789,2380,940,536,135,67,35,10,2,1,0.77,-1
e4,47802,PressureDynamics,3838,3701,3403,2786,2374,943,533,134,66,35,10,2,1,0.772,-1
e4,47810,PressureDynamics,3837,3705,3388,2778,2372,938,532,134,67,35,10,2,1,0.772,-1
e4,47818,PressureDynamics,3845,3705,3414,2801,2387,954,537,135,67,35,10,1,1,0.772,-1
e4,47827,PressureDynamics,3840,3695,3415,2805,2393,951,536,136,67,35,10,2,1,0.77,-1
e4,47835,PressureDynamics,3845,3715,3396,2787,2388,932,531,134,66,34,10,2,1,0.769,-1
e4,47844,PressureDynamics,3846,3718,3413,2797,2383,930,528,133,66,34,10,2,1,0.773,-1
e4,47852,PressureDynamics,3845,3714,3415,2810,2380,940,534,136,67,35,10,2,1,0.772,-1
e4,47860,PressureDynamics,3836,3708,3412,2820,2394,961,543,136,68,35,10,2,1,0.767,-1
