002_015_030,51174,PressureDynamics,3906,3786,3545,3048,2538,1281,793,222,115,61,18,3,2,0.885,-1
002_015_030,51178,PressureDynamics,3916,3780,3538,3042,2532,1286,794,223,115,60,18,4,2,0.884,-1
002_015_030,51183,PressureDynamics,3921,3773,3548,3047,2545,1285,797,223,115,61,18,4,3,0.882,-1
002_015_030,51188,PressureDynamics,3916,3778,3536,3053,2550,1290,797,222,115,61,18,4,2,0.887,-1
002_015_030,51194,PressureDynamics,3916,3782,3548,3054,2552,1290,799,223,115,61,18,4,3,0.889,-1
002_015_030,51199,PressureDynamics,3900,3761,3529,3046,2539,1289,797,223,114,61,18,3,3,0.884,-1
002_015_030,51203,PressureDynamics,3910,3789,3533,3040,2541,1290,798,224,115,61,18,4,4,0.881,-1
002_015_030,51208,PressureDynamics,3932,3792,3553,3047,2543,1286,799,223,115,61,18,4,3,0.889,-1
002_015_030,51213,PressureDynamics,3913,3756,3540,3049,2540,1286,797,223,115,61,18,4,3,0.886,-1
002_015_030,51220,PressureDynamics,3909,3785,3540,3041,2536,1281,794,223,114,61,18,4,2,0.881,-1
002_015_030,51225,PressureDynamics,3915,3779,3544,3048,2541,1283,798,224,116,62,19,4,3,0.886,-1
002_015_030,51230,PressureDynamics,3933,3777,3556,3043,2539,1285,796,224,116,61,18,6,3,0.889,-1
002_015_030,51237,PressureDynamics,3887,3756,3543,3044,2539,1281,798,223,116,62,18,4,3,0.883,-1
002_015_030,51243,PressureDynamics,3918,3780,3549,3044,2540,1284,796,223,116,61,18,4,3,0.883,-1
002_015_030,51248,PressureDynamics,3913,3796,3550,3045,2544,1288,798,224,115,61,18,4,2,0.889,-1
002_015_030,51253,PressureDynamics,3931,3782,3547,3052,2546,1289,798,224,115,61,18,4,2,0.886,-1
002_015_030,51259,PressureDynamics,3917,3787,3542,3045,2542,1293,801,225,116,62,18,4,2,0.881,-1
002_015_030,51266,PressureDynamics,3933,3784,3545,3054,2550,1288,799,226,117,61,18,4,3,0.887,-1
002_015_030,51273,PressureDynamics,3908,3784,3549,3049,2543,1289,800,225,118,62,18,5,4,0.888,-1
002_015_030,51279,PressureDynamics,3907,3773,3529,3049,2536,1283,795,224,116,62,19,4,2,0.885,-1
002_015_030,51287,PressureDynamics,3916,3781,3543,3040,2531,1286,796,224,116,61,18,4,3,0.878,-1
002_015_030,51301,PressureDynamics,3897,3789,3541,3045,2531,1281,799,227,116,61,18,4,2,0.889,-1
002_015_030,51308,PressureDynamics,3913,3782,3543,3048,2539,1285,797,224,115,62,18,4,3,0.886,-1
002_015_030,51319,PressureDynamics,3921,3788,3538,3054,2545,1288,796,224,116,62,18,4,3,0.88,-1
002_015_030,51324,PressureDynamics,3923,3781,3551,3056,2550,1286,796,224,115,61,18,4,2,0.887,-1
002_015_030,51330,PressureDynamics,3896,3773,3550,3051,2539,1287,797,225,116,61,18,5,3,0.886,-1
002_015_030,51336,PressureDynamics,3903,3791,3545,3057,2539,1284,798,224,116,61,17,4,2,0.88,-1
002_015_030,51340,PressureDynamics,3929,3784,3544,3048,2548,1291,803,225,116,62,19,4,3,0.886,-1
002_015_030,51345,PressureDynamics,3913,3788,3552,3050,2540,1284,802,226,116,62,19,5,3,0.888,-1
002_015_030,51350,PressureDynamics,3904,3790,3550,3046,2538,1289,798,225,116,61,18,4,2,0.883,-1
002_015_030,51355,PressureDynamics,3917,3788,3560,3061,2550,1293,797,224,115,62,18,5,2,0.878,-1
002_015_030,51360,PressureDynamics,3915,3788,3550,3071,2551,1296,803,225,116,62,18,4,3,0.887,-1
002_015_030,51365,PressureDynamics,3910,3770,3554,3050,2549,1289,801,225,115,62,18,4,3,0.887,-1
002_015_030,51370,PressureDynamics,3921,3784,3547,3043,2544,1285,799,224,115,62,18,4,3,0.883,-1
002_015_030,51375,PressureDynamics,3914,3791,3552,3054,2552,1287,794,224,116,62,18,4,3,0.886,-1
002_015_030,51380,PressureDynamics,3931,3780,3540,3054,2539,1287,798,225,115,62,18,4,2,0.884,-1
002_015_030,51385,PressureDynamics,3902,3765,3550,3056,2546,1291,799,224,115,61,18,4,3,0.884,-1
002_015_030,51389,PressureDynamics,3907,3786,3549,3050,2551,1289,801,225,116,62,19,3,2,0.884,-1
002_015_030,51394,PressureDynamics,3922,3785,3561,3056,2554,1294,798,224,116,61,18,4,3,0.886,-1
002_015_030,51399,PressureDynamics,3922,3789,3553,3048,2544,1291,797,224,116,61,18,4,3,0.885,-1
002_015_030,51404,PressureDynamics,3900,3782,3544,3043,2547,1294,803,225,116,60,20,4,3,0.886,-1
002_015_030,51408,PressureDynamics,3918,3788,3548,3057,2557,1293,800,224,115,62,18,4,3,0.887,-1
002_015_030,51414,PressureDynamics,3916,3784,3550,3052,2548,1288,799,225,116,62,18,4,3,0.887,-1
002_015_030,51419,PressureDynamics,3918,3768,3537,3048,2548,1291,800,224,115,62,18,4,3,0.884,-1
002_015_030,51424,PressureDynamics,3931,3777,3542,3048,2545,1288,800,225,115,62,18,3,2,0.881,-1
002_015_030,51429,PressureDynamics,3942,3798,3556,3059,2552,1289,799,224,115,61,18,4,2,0.887,-1
002_015_030,51434,PressureDynamics,3912,3774,3552,3055,2547,1293,800,225,115,61,18,4,3,0.883,-1
002_015_030,51438,PressureDynamics,3907,3778,3556,3060,2556,1290,798,224,115,61,18,3,2,0.879,-1
002_015_030,51443,PressureDynamics,3919,3779,3544,3047,2541,1290,799,224,115,62,19,4,2,0.885,-1
002_015_030,51449,PressureDynamics,3929,3775,3545,3045,2545,1290,799,225,116,62,18,4,2,0.886,-1
002_015_030,51454,PressureDynamics,3905,3774,3539,3042,2543,1292,802,225,115,61,19,4,3,0.884,-1
002_015_030,51459,PressureDynamics,3924,3775,3547,3050,2548,1293,800,224,116,62,18,4,2,0.884,-1
002_015_030,51465,PressureDynamics,3921,3783,3539,3057,2551,1293,801,225,116,62,18,4,4,0.89,-1
002_015_030,51470,PressureDynamics,3904,3782,3548,3059,2538,1291,804,225,117,62,18,3,2,0.886,-1
002_015_030,51474,PressureDynamics,3934,3775,3541,3057,2542,1290,798,226,116,62,19,4,2,0.88,-1
002_015_030,51481,PressureDynamics,3933,3790,3544,3061,2551,1295,800,225,117,62,18,4,3,0.885,-1
002_015_030,51486,PressureDynamics,3915,3784,3540,3052,2553,1295,806,225,117,62,19,4,3,0.887,-1
002_015_030,51491,PressureDynamics,3914,3784,3533,3044,2554,1298,806,226,117,62,18,4,3,0.883,-1
002_015_030,51496,PressureDynamics,3918,3777,3542,3064,2560,1298,807,227,116,62,18,4,3,0.884,-1
002_015_030,51501,PressureDynamics,3919,3787,3546,3058,2558,1300,806,227,117,62,19,3,3,0.889,-1
002_015_030,51506,PressureDynamics,3898,3773,3547,3053,2548,1295,805,227,117,62,19,4,3,0.882,-1
002_015_030,51511,PressureDynamics,3911,3788,3542,3052,2551,1294,803,226,117,62,18,4,3,0.879,-1
002_015_030,51517,PressureDynamics,3930,3789,3547,3054,2554,1295,799,227,117,62,18,4,3,0.886,-1
002_015_030,51522,PressureDynamics,3909,3775,3541,3049,2549,1296,803,225,117,61,18,3,3,0.887,-1
002_015_030,51527,PressureDynamics,3915,3774,3544,3048,2547,1299,807,226,117,62,18,5,3,0.883,-1
002_015_030,51532,PressureDynamics,3915,3790,3547,3059,2552,1293,806,227,117,62,18,4,2,0.884,-1
002_015_030,51538,PressureDynamics,3918,3803,3543,3047,2556,1301,803,225,115,62,18,4,3,0.889,-1
002_015_030,51543,PressureDynamics,3910,3790,3553,3047,2561,1299,808,227,118,63,18,4,2,0.884,-1
002_015_030,51552,PressureDynamics,3923,3792,3546,3058,2555,1300,806,228,117,62,18,4,2,0.884,-1
002_015_030,51557,PressureDynamics,3945,3786,3552,3055,2561,1300,813,227,117,63,19,4,3,0.886,-1
