LineID,	 Timestamp,		 ParticipantID,	 Repetition,	 Condition,	 PulseWidth,	 Frequency,	 Intensity,	 Granularity

0,	 20:30 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:30 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 20:30 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
3,	 20:30 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
4,	 20:30 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.5,		 0.5
0,	 20:34 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:34 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 20:34 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
3,	 20:34 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
4,	 20:34 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.5,		 0.5
5,	 20:34 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
6,	 20:34 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
7,	 20:34 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
0,	 20:34 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:34 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 20:34 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
0,	 20:37 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.30125,		 0.365
1,	 20:37 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.57,		 0.96375
2,	 20:37 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.77625,		 0.22125
3,	 20:37 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.12625,		 0.9075
4,	 20:37 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.35125,		 0.01
5,	 20:38 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.4325,		 0.555
6,	 20:38 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.30375,		 0.7125
7,	 20:38 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.8075,		 0.38
8,	 20:39 29/3/2018,	 3,		 0,		 8,		 1500,		 40,		 0.5625,		 0.74375
9,	 20:39 29/3/2018,	 3,		 0,		 9,		 1500,		 100,		 0.6425,		 0.40625
10,	 20:39 29/3/2018,	 3,		 0,		 10,		 2000,		 220,		 0.365,		 0.6325
11,	 20:39 29/3/2018,	 3,		 0,		 11,		 1500,		 10,		 0.085,		 0.79125
12,	 20:39 29/3/2018,	 3,		 0,		 12,		 1000,		 100,		 0.36625,		 0.49
13,	 20:40 29/3/2018,	 3,		 0,		 13,		 1000,		 40,		 0.5,		 0.5
0,	 20:43 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:43 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 20:43 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
0,	 20:53 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:53 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
2,	 20:53 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
3,	 20:54 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
4,	 20:54 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
5,	 20:54 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
6,	 20:54 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
0,	 20:55 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
0,	 20:55 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:56 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
0,	 20:59 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 20:59 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.38,		 0.7425
2,	 20:59 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
3,	 20:59 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
4,	 21:0 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.5,		 0.5
5,	 21:0 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
6,	 21:0 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
7,	 21:0 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
8,	 21:0 29/3/2018,	 3,		 0,		 8,		 1500,		 40,		 0.5,		 0.5
9,	 21:0 29/3/2018,	 3,		 0,		 9,		 1500,		 100,		 0.5,		 0.5
10,	 21:0 29/3/2018,	 3,		 0,		 10,		 2000,		 220,		 0.5,		 0.5
11,	 21:0 29/3/2018,	 3,		 0,		 11,		 1500,		 10,		 0.5,		 0.5
12,	 21:0 29/3/2018,	 3,		 0,		 12,		 1000,		 100,		 0.5,		 0.5
13,	 21:0 29/3/2018,	 3,		 0,		 13,		 1000,		 40,		 0.5,		 0.5
14,	 21:2 29/3/2018,	 3,		 0,		 14,		 1000,		 10,		 0.5,		 0.5
